Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.45682382583618164,0.0,20.868,0.0,-3.400676727294922
0.49320149421691895,0.0,20.861,0.0,-3.367196798324585
0.5147368907928467,0.0,20.845,0.0,-3.3494224548339844
0.546518087387085,0.0,20.842,0.0,-3.332045555114746
0.5777161121368408,0.0,20.868,0.0,-3.3157131671905518
0.6142098903656006,0.0,20.892,0.0,-3.2879722118377686
0.6431498527526855,0.0,20.901,0.0,-3.275897741317749
0.6760509014129639,0.0,20.903,0.0,-3.2644731998443604
0.7045161724090576,0.0,20.892,0.0,-3.252995252609253
0.7376463413238525,0.0,20.89,0.0,-3.232757329940796
0.7723400592803955,0.0,20.885,0.0,-3.2235169410705566
0.79866623878479,0.0,20.888,0.0,-3.2150485515594482
0.8279612064361572,0.0,20.889,0.0,-3.2074313163757324
0.8661484718322754,0.0,20.947,0.0,-3.1955177783966064
0.8909127712249756,0.0,20.906,0.0,-3.1918721199035645
0.9223930835723877,0.0,20.906,0.0,-3.1865286827087402
0.9530923366546631,0.0,20.895,0.0,-3.181668758392334
0.9871323108673096,0.0,20.885,0.0,-3.172010660171509
1.0236835479736328,0.0,20.888,0.0,-3.1681606769561768
1.0534462928771973,0.0,20.889,0.0,-3.1644551753997803
1.0806024074554443,0.0,20.881,0.0,-3.1612043380737305
1.1210899353027344,0.0,20.887,0.0,-3.1553778648376465
1.156252384185791,0.0,20.887,0.0,-3.1540303230285645
1.1932227611541748,0.0,20.902,0.0,-3.1503539085388184
1.2257022857666016,0.0,20.891,0.0,-3.148590087890625
1.256880283355713,0.0,20.879,0.0,-3.146852970123291
1.289076805114746,0.0,20.863,0.0,-3.142714738845825
1.3206992149353027,0.0,20.851,0.0,-3.1403069496154785
1.363285779953003,0.0,20.843,0.0,-3.1345932483673096
1.3926963806152344,0.0,20.842,0.0,-3.133373737335205
1.4245061874389648,0.0,20.859,0.0,-3.132315158843994
1.4557173252105713,0.0,20.864,0.0,-3.1321465969085693
1.487785816192627,0.0,20.899,0.0,-3.1326382160186768
1.5195629596710205,0.0,20.892,0.0,-3.1339168548583984
1.5638511180877686,0.0,20.886,0.0,-3.1347594261169434
1.592242956161499,0.0,20.846,0.0,-3.1342344284057617
1.622079849243164,0.0,20.871,0.0,-3.132735013961792
1.654097557067871,0.0,20.868,0.0,-3.1325888633728027
1.6773784160614014,0.0,20.882,0.0,-3.1323187351226807
1.7103781700134277,0.0,20.907,0.0,-3.1326699256896973
1.7412803173065186,0.0,20.882,0.0,-3.133890151977539
1.77268385887146,0.0,20.895,0.0,-3.134350299835205
1.8018791675567627,0.0,20.897,0.0,-3.134763479232788
1.8293426036834717,0.0,20.904,0.0,-3.135056734085083
1.8631503582000732,0.0,20.897,0.0,-3.1356148719787598
1.892686367034912,0.0,20.891,0.0,-3.1353871822357178
1.9263463020324707,0.0,20.881,0.0,-3.134768486022949
1.960327386856079,0.0,20.859,0.0,-3.133976697921753
1.9907913208007812,0.0,20.882,0.0,-3.1327016353607178
2.0169527530670166,0.0,20.878,0.0,-3.132681131362915
2.052966356277466,0.0,20.883,0.0,-3.132490873336792
2.0935146808624268,0.0,20.883,0.0,-3.1327970027923584
2.12469482421875,0.0,20.903,0.0,-3.132774829864502
2.15651273727417,0.0,20.927,0.0,-3.133591890335083
2.190232038497925,0.0,20.894,0.0,-3.13509202003479
2.219661235809326,0.0,20.866,0.0,-3.1346821784973145
2.2520737648010254,0.0,20.851,0.0,-3.1334726810455322
2.283754825592041,0.0,20.85,0.0,-3.1319005489349365
2.3345320224761963,0.0,20.883,0.0,-3.1308484077453613
2.3740694522857666,0.0,20.87,0.0,-3.131141185760498
2.405796766281128,0.0,20.859,0.0,-3.1309127807617188
2.4401347637176514,0.0,20.878,0.0,-3.1305906772613525
2.469381332397461,0.0,20.881,0.0,-3.1309638023376465
2.51446533203125,0.0,20.89,0.0,-3.132251262664795
2.543490409851074,0.0,20.884,0.0,-3.132378101348877
2.5687248706817627,0.0,20.882,0.0,-3.132389783859253
2.5943610668182373,0.0,20.899,0.0,-3.133110523223877
2.628038167953491,0.0,20.916,0.0,-3.13437819480896
2.6558220386505127,0.0,20.939,0.0,-3.135477304458618
2.6932880878448486,0.0,20.923,0.0,-3.1377665996551514
2.7335827350616455,0.0,20.92,0.0,-3.1378839015960693
2.764599561691284,0.0,20.913,0.0,-3.1382031440734863
2.805872678756714,0.0,20.925,0.0,-3.1380834579467773
2.827554941177368,0.0,20.905,0.0,-3.1384787559509277
2.871605396270752,0.0,20.902,0.0,-3.1364808082580566
2.9042091369628906,0.0,20.882,0.0,-3.1362335681915283
2.940558671951294,0.0,20.898,0.0,-3.1350648403167725
2.9672062397003174,0.0,20.91,0.0,-3.1354663372039795
3.009146213531494,0.0,20.913,0.0,-3.1357760429382324
3.042834997177124,0.0,20.919,0.0,-3.136669635772705
3.074130058288574,0.0,20.913,0.0,-3.136990785598755
3.102909564971924,0.0,20.885,0.0,-3.1370654106140137
3.129145622253418,0.0,20.894,0.0,-3.1359407901763916
3.16001558303833,0.0,20.92,0.0,-3.1354451179504395
3.19132924079895,0.0,20.908,0.0,-3.136195659637451
