Time(s),Setpoint (C),Temperature (C),TotalOutput (%),PIDOutput (%)
0.28960394859313965,0.0,28.518,0.0,-4.7121477127075195
0.32029104232788086,0.0,28.509,0.0,-4.721765995025635
0.35164475440979004,0.0,28.456,0.0,-4.717556953430176
0.39200329780578613,0.0,28.446,0.0,-4.687276840209961
0.419358491897583,0.0,28.447,0.0,-4.666182518005371
0.45096564292907715,0.0,28.456,0.0,-4.64339017868042
0.4710829257965088,0.0,28.441,0.0,-4.619480133056641
0.5154964923858643,0.0,28.46,0.0,-4.569761753082275
0.5419268608093262,0.0,28.47,0.0,-4.546945571899414
0.5781831741333008,0.0,28.493,0.0,-4.525379180908203
0.6102144718170166,0.0,28.523,0.0,-4.5057196617126465
0.6421909332275391,0.0,28.497,0.0,-4.471246719360352
0.6736078262329102,0.0,28.513,0.0,-4.454216957092285
0.7058987617492676,0.0,28.497,0.0,-4.439034461975098
0.7375645637512207,0.0,28.502,0.0,-4.42418909072876
0.7702295780181885,0.0,28.536,0.0,-4.399150371551514
0.8020012378692627,0.0,28.545,0.0,-4.3889923095703125
0.8346273899078369,0.0,28.513,0.0,-4.379884719848633
0.8659160137176514,0.0,28.503,0.0,-4.360637664794922
0.897843599319458,0.0,28.471,0.0,-4.350833892822266
0.9290850162506104,0.0,28.481,0.0,-4.341415882110596
0.961306095123291,0.0,28.509,0.0,-4.334341526031494
0.9935812950134277,0.0,28.515,0.0,-4.3246588706970215
1.0193655490875244,0.0,28.526,0.0,-4.32091760635376
1.0547983646392822,0.0,28.527,0.0,-4.317425727844238
1.0854792594909668,0.0,28.527,0.0,-4.314228057861328
1.1190834045410156,0.0,28.512,0.0,-4.307651519775391
1.1526424884796143,0.0,28.49,0.0,-4.304520130157471
1.184124231338501,0.0,28.492,0.0,-4.300786972045898
1.21651029586792,0.0,28.502,0.0,-4.295943260192871
1.2489986419677734,0.0,28.489,0.0,-4.293725490570068
1.2821640968322754,0.0,28.487,0.0,-4.2912139892578125
1.3171346187591553,0.0,28.499,0.0,-4.287530899047852
1.3461475372314453,0.0,28.507,0.0,-4.286581039428711
1.377676010131836,0.0,28.507,0.0,-4.286526203155518
1.4096617698669434,0.0,28.498,0.0,-4.285497665405273
1.442138671875,0.0,28.492,0.0,-4.282806873321533
1.474494457244873,0.0,28.473,0.0,-4.280832767486572
1.506460428237915,0.0,28.489,0.0,-4.280473709106445
1.5425763130187988,0.0,28.51,0.0,-4.279603481292725
1.5697071552276611,0.0,28.541,0.0,-4.280898571014404
1.6035056114196777,0.0,28.51,0.0,-4.280534267425537
1.6349050998687744,0.0,28.513,0.0,-4.280317306518555
1.666663646697998,0.0,28.491,0.0,-4.278736591339111
1.6988675594329834,0.0,28.492,0.0,-4.277852535247803
1.727276086807251,0.0,28.518,0.0,-4.27717399597168
1.752626657485962,0.0,28.502,0.0,-4.2777099609375
1.7840404510498047,0.0,28.517,0.0,-4.277423858642578
1.8209271430969238,0.0,28.464,0.0,-4.277108669281006
1.8516604900360107,0.0,28.465,0.0,-4.275286674499512
1.8838756084442139,0.0,28.451,0.0,-4.2739033699035645
1.9190876483917236,0.0,28.452,0.0,-4.270986557006836
1.9487793445587158,0.0,28.452,0.0,-4.270022869110107
1.980285882949829,0.0,28.446,0.0,-4.269326686859131
2.018097162246704,0.0,28.448,0.0,-4.26796293258667
2.045442819595337,0.0,28.462,0.0,-4.268146514892578
2.0770208835601807,0.0,28.452,0.0,-4.267881870269775
2.1092734336853027,0.0,28.489,0.0,-4.26890754699707
2.141423463821411,0.0,28.503,0.0,-4.270933151245117
2.173368453979492,0.0,28.491,0.0,-4.272207736968994
2.205906391143799,0.0,28.479,0.0,-4.27268648147583
2.2213590145111084,0.0,28.487,0.0,-4.272546291351318
2.2547011375427246,0.0,28.484,0.0,-4.272767543792725
2.28518009185791,0.0,28.483,0.0,-4.272806167602539
2.3181562423706055,0.0,28.494,0.0,-4.273230075836182
2.350149393081665,0.0,28.476,0.0,-4.272264003753662
2.382107973098755,0.0,28.483,0.0,-4.27205753326416
2.4099442958831787,0.0,28.473,0.0,-4.272190093994141
2.4534990787506104,0.0,28.501,0.0,-4.273050308227539
2.486179828643799,0.0,28.505,0.0,-4.273707389831543
2.502328395843506,0.0,28.515,0.0,-4.274377822875977
2.5342371463775635,0.0,28.507,0.0,-4.275307655334473
2.5683181285858154,0.0,28.508,0.0,-4.275997638702393
2.6033530235290527,0.0,28.49,0.0,-4.2754740715026855
2.635287046432495,0.0,28.459,0.0,-4.275393962860107
2.6693778038024902,0.0,28.449,0.0,-4.272356986999512
2.7000904083251953,0.0,28.414,0.0,-4.270910739898682
